time,open,high,low,close
2023-03-13,20.35,21.51,18.92,20.48
2023-03-14,20.48,22.16,19.86,20.94
2023-03-15,20.94,21.55,18.77,19.32
2023-03-16,19.32,19.95,18.97,19.72
2023-03-17,19.72,21.71,19.47,21.65
2023-03-18,21.65,22.93,21.12,21.26
2023-03-19,21.26,22.48,21.25,21.92
2023-03-20,21.93,23.98,21.45,22.19
2023-03-21,22.19,23.37,21.59,22.62
2023-03-22,22.61,23.12,21.02,21.46
2023-03-23,21.46,22.77,21.14,22.21
2023-03-24,22.21,22.3,20.29,20.69
2023-03-25,20.69,20.98,20.13,20.44
2023-03-26,20.44,21.15,20.31,20.96
2023-03-27,20.97,20.99,19.36,19.91
2023-03-28,19.92,20.86,19.63,20.45
2023-03-29,20.45,21.55,20.45,21.11
2023-03-30,21.11,21.67,20.16,20.55
2023-03-31,20.55,21.48,20.05,21.17
2023-04-01,21.17,21.33,20.78,21.08
2023-04-02,21.08,21.31,20.26,20.53
2023-04-03,20.53,21,19.99,20.45
2023-04-04,20.45,21.25,20.31,20.92
2023-04-05,20.92,21.34,20.59,20.98
2023-04-06,20.98,20.99,20.47,20.63
2023-04-07,20.62,20.78,20.25,20.45
2023-04-08,20.46,20.74,19.88,20.05
2023-04-09,20.05,20.45,19.89,20.3
2023-04-10,20.3,20.96,20.09,20.91
2023-04-11,20.91,23.7,20.84,23.01
2023-04-12,23.01,24.47,22.34,23.81
2023-04-13,23.81,25.29,23.67,24.46
2023-04-14,24.46,25.5,23.78,24.75
2023-04-15,24.75,24.81,23.84,24.07
2023-04-16,24.07,25.49,23.86,25.37
2023-04-17,25.36,26.02,24.35,24.59
2023-04-18,24.59,25.45,24.02,24.83
2023-04-19,24.83,24.99,21.99,22.7
2023-04-20,22.7,23.17,21.59,22.2
2023-04-21,22.2,22.41,21.01,21.27
2023-04-22,21.27,22,21.06,21.81
2023-04-23,21.81,22.25,20.98,21.48
2023-04-24,21.48,22.01,21.03,21.39
2023-04-25,21.39,21.96,20.75,21.93
2023-04-26,21.93,22.96,20.4,21.29
2023-04-27,21.29,22.51,21.21,22.34
2023-04-28,22.34,23.51,22.19,23.37
2023-04-29,23.37,23.89,22.95,23.21
2023-04-30,23.2,23.99,22.71,22.72
2023-05-01,22.73,22.89,21.56,21.98
2023-05-02,21.98,22.4,21.77,22.28
2023-05-03,22.28,22.31,21.26,22.25
2023-05-04,22.25,22.53,21.64,21.76
2023-05-05,21.76,23.09,21.66,22.86
2023-05-06,22.86,23.26,21.64,22.02
2023-05-07,22.02,22.86,21.78,21.78
2023-05-08,21.8,21.96,20.15,20.76
2023-05-09,20.76,21.16,20.47,20.72
2023-05-10,20.72,21.33,19.95,20.97
2023-05-11,20.97,20.97,19.77,20.2
2023-05-12,20.2,20.97,19.84,20.92
2023-05-13,20.91,21.29,20.8,20.86
2023-05-14,20.86,21.27,20.64,20.95
2023-05-15,20.95,21.52,20.62,21
2023-05-16,21,21.13,20.45,20.68
2023-05-17,20.68,21.19,20.44,21.04
2023-05-18,21.05,21.09,20.11,20.35
2023-05-19,20.35,20.59,20.23,20.35
2023-05-20,20.35,20.36,20.11,20.29
2023-05-21,20.28,20.39,19.41,19.63
2023-05-22,19.62,20.02,19.31,19.54
2023-05-23,19.54,20.18,19.43,20.04
2023-05-24,20.04,20.07,18.75,19.22
2023-05-25,19.22,19.57,18.79,19.26
2023-05-26,19.26,19.56,19.1,19.37
2023-05-27,19.37,20.53,19.34,20.44
2023-05-28,20.44,21.19,20.31,20.81
2023-05-29,20.81,20.99,20.28,20.59
2023-05-30,20.59,21.41,20.48,21.27
2023-05-31,21.27,21.33,20.4,20.83
2023-06-01,20.83,20.99,20.42,20.51
2023-06-02,20.51,21.37,20.32,21.26
2023-06-03,21.26,21.36,20.98,21.2
2023-06-04,21.2,22.3,21.05,21.82
2023-06-05,21.83,22.06,19.25,20.02
2023-06-06,20.02,20.7,19.25,20.43
2023-06-07,20.43,20.6,18.63,18.79
2023-06-08,18.79,19.1,18.31,18.89
2023-06-09,18.9,19.34,17.08,17.38
2023-06-10,17.38,17.39,13.25,15.65
2023-06-11,15.64,16.17,15.15,15.53
2023-06-12,15.54,15.69,14.78,15.2
2023-06-13,15.22,15.93,14.83,15.09
2023-06-14,15.07,15.38,14.18,14.55
2023-06-15,14.55,15.09,14.22,14.83
2023-06-16,14.83,15.48,14.47,15.34
2023-06-17,15.34,16.11,15.2,15.65
2023-06-18,15.65,15.83,15.29,15.43
2023-06-19,15.43,16.13,15.37,16.1
2023-06-20,16.1,16.68,15.76,16.65
2023-06-21,16.65,17.31,16.59,17.16
2023-06-22,17.16,17.63,16.44,16.51
2023-06-23,16.51,17.37,15.82,17.02
2023-06-24,17.02,17.39,16.3,16.51
2023-06-25,16.51,17.18,16.44,16.82
2023-06-26,16.81,16.99,15.87,16.16
2023-06-27,16.16,16.71,16.01,16.43
2023-06-28,16.43,16.46,15.64,15.89
2023-06-29,15.89,18.07,15.77,17.81
2023-06-30,17.81,19.9875,17.2,18.8686
2023-07-01,18.8661,18.9926,17.9242,18.6935
2023-07-02,18.6935,19.7102,18.5629,19.4537
2023-07-03,19.4537,19.6355,18.8837,19.2588
2023-07-04,19.2563,19.9125,19.0895,19.1376
2023-07-05,19.1401,19.355,18.44,18.9882
2023-07-06,18.9857,20.9618,18.845,19.628
2023-07-07,19.6255,21.7443,19.2923,21.4994
2023-07-08,21.4944,22.4363,21.34,21.8391
2023-07-09,21.8391,22.3471,21.0273,21.3378
2023-07-10,21.3353,21.7725,20.4997,21.3001
2023-07-11,21.2976,22.3488,21.2258,22.0791
