time,open,high,low,close,Plot,Plot
2014-10-21,380.86,394,376.66,384,376.1753333333323,1
2014-10-22,384.01,386.7,377.25,378.8,379.03066666666564,1
2014-10-23,378.79,383.6,355,357.87,379.36199999999894,1
2014-10-24,357.87,363.1,351.5,356.58,378.86733333333234,1
2014-10-25,356.58,358.88,337.65,344.62,377.901999999999,1
2014-10-26,344.65,359.9,340.2,353.01,377.391999999999,1
2014-10-27,353.07,359.47,346.44,349.01,375.455999999999,1
2014-10-28,349.51,355.44,347.44,352.7,372.88933333333233,1
2014-10-29,352.71,353.78,332,333.58,368.527999999999,1
2014-10-30,333.5,351,331,345.08,365.2533333333323,1
2014-10-31,345.08,347.99,332.14,336.82,362.26799999999895,1
2014-11-01,336.72,339,315.54,325.9,358.49599999999896,1
2014-11-02,325.9,329.55,317.7,323.82,354.0239999999989,1
2014-11-03,323.8,334.14,323.8,325,349.82266666666567,1
2014-11-04,324.83,331.28,321,329.66,346.429999999999,1
2014-11-05,329.75,342.54,329.75,338.62,343.4046666666656,1
2014-11-06,338.62,354.32,336.32,350.48,341.5166666666656,1
2014-11-07,350.49,354,338.1,341.84,340.4479999999989,1
2014-11-08,342.04,348.3,341,345,339.67599999999896,1
2014-11-09,345.01,364.12,343.41,362.61,340.8753333333323,1
2014-11-10,362.6,374.26,356.33,366.07,341.745999999999,1
2014-11-11,366.17,371.45,360.74,367.65,342.98866666666567,1
2014-11-12,367.66,436,367.59,433.56,348.37933333333234,1
2014-11-13,432,475,381.56,417.65,353.98399999999907,1
2014-11-14,417.65,425.67,382.22,399.99,357.6446666666657,1
2014-11-15,400,410.1,368,375.34,360.2126666666657,1
2014-11-16,375.37,399.9,372.5,391.65,364.59599999999904,1
2014-11-17,391.8,413.48,373,387.5,368.84133333333244,1
2014-11-18,387.5,393,366.46,372.85,372.03133333333244,1
2014-11-19,372.89,386,368.55,375.26,375.07133333333246,1
2014-11-20,376.73,379.5,352.01,356.77,376.28133333333244,1
2014-11-21,356.59,357.39,340,350.46,376.27999999999906,1
2014-11-22,350.11,365.3,349.1,352.81,377.0113333333324,1
2014-11-23,352.44,372.28,351.5,368.25,378.56133333333247,1
2014-11-24,368,391.92,363.62,376.05,379.4573333333325,1
2014-11-25,376.06,396.87,375.08,377.02,380.18733333333245,1
2014-11-26,377,379.26,365.22,369.99,380.3433333333325,1
2014-11-27,370,375,368.15,370,376.10599999999914,1
2014-11-28,369.99,387.5,355.51,377.43,373.4246666666658,1
2014-11-29,377.79,390,371,376.28,371.84399999999914,1
2014-11-30,376.07,385.59,373.7,379.89,372.1473333333325,1
2014-12-01,379.67,386.5,377.3,382,371.5039999999991,1
2014-12-02,382,387.99,379.08,384.5,371.3039999999991,1
2014-12-03,384.67,386.3,372.64,376,371.5139999999991,1
2014-12-04,376.24,380.33,367.8,370.99,371.2293333333324,1
2014-12-05,370.74,382.51,366.1,378.18,372.6566666666658,1
2014-12-06,378.3,381.19,370.11,376.69,374.4053333333324,1
2014-12-07,376.59,379.8,373.01,376.02,375.9526666666658,1
